Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
15/03/2025,Everton,West Ham,1,1,D,2.05,3.2,3.9
15/03/2025,Ipswich,Nott'm Forest,2,4,A,3.75,3.5,2.0
15/03/2025,Man City,Brighton,2,2,D,1.67,4.33,4.5
15/03/2025,Southampton,Wolves,1,2,A,3.7,3.4,2.0
15/03/2025,Bournemouth,Brentford,1,2,A,1.73,4.2,4.2
16/03/2025,Arsenal,Chelsea,1,0,H,1.8,3.6,4.5
16/03/2025,Fulham,Tottenham,2,0,H,2.0,3.75,3.6
16/03/2025,Leicester,Man United,0,3,A,4.5,3.5,1.83
01/04/2025,Arsenal,Fulham,2,1,H,1.48,4.33,7.0
01/04/2025,Wolves,West Ham,1,0,H,2.5,3.2,2.9
01/04/2025,Nott'm Forest,Man United,1,0,H,2.3,3.4,3.1
02/04/2025,Bournemouth,Ipswich,1,2,A,1.36,5.25,7.5
02/04/2025,Brighton,Aston Villa,0,3,A,2.05,3.8,3.25
02/04/2025,Man City,Leicester,2,0,H,1.2,8.0,10.0
02/04/2025,Newcastle,Brentford,2,1,H,1.73,4.5,4.0
02/04/2025,Southampton,Crystal Palace,1,1,D,5.75,3.8,1.62
02/04/2025,Liverpool,Everton,1,0,H,1.36,5.0,8.0
03/04/2025,Chelsea,Tottenham,1,0,H,1.65,4.5,4.5
05/04/2025,Everton,Arsenal,1,1,D,5.25,3.25,1.75
05/04/2025,Crystal Palace,Brighton,2,1,H,2.35,3.6,2.8
05/04/2025,Ipswich,Wolves,1,2,A,2.7,3.25,2.63
05/04/2025,West Ham,Bournemouth,2,2,D,3.0,3.5,2.3
05/04/2025,Aston Villa,Nott'm Forest,2,1,H,1.95,3.6,3.7
06/04/2025,Brentford,Chelsea,0,0,D,3.2,3.6,2.15
06/04/2025,Fulham,Liverpool,3,2,H,4.5,3.5,1.83
06/04/2025,Tottenham,Southampton,3,1,H,1.38,5.5,6.5
06/04/2025,Man United,Man City,0,0,D,3.4,3.6,2.1
07/04/2025,Leicester,Newcastle,0,3,A,6.5,4.2,1.48
12/04/2025,Man City,Crystal Palace,5,2,H,1.5,4.75,5.75
12/04/2025,Brighton,Leicester,2,2,D,1.29,6.0,10.0
12/04/2025,Nott'm Forest,Everton,0,1,A,2.1,3.3,3.7
12/04/2025,Southampton,Aston Villa,0,3,A,6.0,4.2,1.55
12/04/2025,Arsenal,Brentford,1,1,D,1.6,4.33,5.0
13/04/2025,Chelsea,Ipswich,2,2,D,1.27,7.0,8.5
13/04/2025,Liverpool,West Ham,2,1,H,1.3,6.0,8.0
13/04/2025,Wolves,Tottenham,4,2,H,2.2,3.6,3.1
13/04/2025,Newcastle,Man United,4,1,H,1.65,4.2,4.75
14/04/2025,Bournemouth,Fulham,1,0,H,2.15,3.5,3.3
16/04/2025,Newcastle,Crystal Palace,5,0,H,1.67,3.9,5.0
19/04/2025,Brentford,Brighton,4,2,H,2.4,3.75,2.63
19/04/2025,Crystal Palace,Bournemouth,0,0,D,2.45,3.6,2.63
19/04/2025,Everton,Man City,0,2,A,3.7,3.6,1.91
19/04/2025,West Ham,Southampton,1,1,D,1.48,4.33,6.5
19/04/2025,Aston Villa,Newcastle,4,1,H,2.3,3.6,2.75
20/04/2025,Fulham,Chelsea,1,2,A,2.7,3.7,2.35
20/04/2025,Ipswich,Arsenal,0,4,A,8.0,4.5,1.4
20/04/2025,Man United,Wolves,0,1,A,2.0,3.6,3.6
